method,T,min_eig,condition_number,segment_coverage,err_B,err_D,train_nll,test_nll,train_time,seed
multi_sine,200,74.85978095819115,1.21367139554081,0.5662075347783102,0.019179694005709843,0.3345304588038762,0.07429557196818629,0.3750976166051218,1.9646246433258057,3
piecewise_gaussian,200,78.98650792276109,1.5320779619149838,0.5605030378075071,0.02296345456567069,0.14124440988464368,0.16328977845554862,0.20784888686999692,1.9684357643127441,3
sphere_random_walk,200,67.28635343143434,1.97237085679796,1.715512339265809,0.032178224300925456,0.3943552787778708,0.032806292623206675,0.7512187810378189,1.9518835544586182,3
gpe,500,212.99006025583753,1.3475273418829081,0.20559633531035643,0.015072177402737199,0.1402871695890296,0.1203788660857886,0.2010495407096469,2.3012681007385254,3
white_noise,500,192.45540055308507,1.0134935203861433,0.2501222859063303,0.027086302866134712,0.0356946129185593,0.14841768762457982,0.12635746465733674,2.313279151916504,3
multi_sine,500,156.14266224332346,1.5671948399613576,0.23764919681090077,0.012549498910626646,0.03901557382781819,0.12984648357055306,0.13719441106547928,2.7020351886749268,3
piecewise_gaussian,500,241.2481208144245,1.072554962550397,0.2501604997240533,0.022237117469060933,0.11855688233579795,0.15283220796175162,0.1596818499975363,3.6829888820648193,3
sphere_random_walk,500,170.5722234420431,1.9313095644185925,0.2501974354656501,0.014096787383923752,0.16886213746996517,0.14460886962732902,0.19807164883026837,2.3617961406707764,3
gpe,1000,463.49509562183295,1.1575200890923565,0.0983776020931635,0.010994412043212479,0.10183055603064356,0.1079158788635585,0.15160118470898037,3.7615156173706055,3
white_noise,1000,386.6164137739598,1.078548035584578,0.15979004587934212,0.022256535015133104,0.020075767103798037,0.065364326186302,0.12363378195792346,3.262160301208496,3
multi_sine,1000,382.67313238570205,1.143723915314928,0.1680583837411529,0.013617265642339992,0.07220796579100944,0.16129835743401233,0.14210571932810803,2.806788206100464,3
piecewise_gaussian,1000,466.052299830399,1.1456818909890458,0.14924905494841062,0.0066560100576525585,0.06474588975243456,0.11482500702114379,0.1422823639093191,2.813244104385376,3
sphere_random_walk,1000,472.4673592137598,1.1165482874076367,0.21549225430020005,0.005549517067621197,0.08221939158796568,0.14693602007584092,0.18063557160515728,2.810079336166382,3
gpe,200,90.48076332144473,1.2104145528630537,0.381159014549633,0.041841167648107906,0.46134471168484104,-0.16927605811667645,0.975564498974888,1.9553804397583008,4
white_noise,200,76.10879146298467,1.0707305494144193,0.47949874706838247,0.03636700163113463,0.044584620152582605,-0.08408503869369484,-0.10470779345358466,1.9528639316558838,4
multi_sine,200,64.10334169477923,1.5407819453857856,0.5813843506109446,0.030977996095809764,0.09144783304007792,-0.06856443952611004,-0.0611131672103932,2.0624563694000244,4
piecewise_gaussian,200,93.41070002087689,1.141082295231562,0.4867814368886025,0.03396956762934136,0.12709696830828754,-0.07859467915902645,-0.03658139698001616,1.9753386974334717,4
sphere_random_walk,200,53.493307203758434,2.7387854005346357,0.9101391022644603,0.013167336269223995,0.31562243013064095,-0.10297686861742945,0.2594614451392699,2.034846782684326,4
gpe,500,234.0881508607927,1.1359474546715789,0.18580586768003063,0.013736873386231262,0.1715590430111476,-0.0778235354649315,-0.025879144763594986,2.3526322841644287,4
white_noise,500,196.94800798778454,1.0380668774805413,0.25748124051964577,0.020779723015840905,0.023070287219643285,-0.019192344377894424,-0.10828249365653468,2.3263204097747803,4
multi_sine,500,160.83049754062515,1.4823136503974095,0.2968349842341267,0.014606542670428083,0.07382356731555972,-0.04435829037994884,-0.056576697157698246,2.2805161476135254,4
piecewise_gaussian,500,220.87211079872463,1.2637533919142514,0.22586588480905812,0.017115025639271638,0.10312439858593793,-0.11114796568796463,-0.08496290320031762,2.2453534603118896,4
sphere_random_walk,500,199.71444302460446,1.503574515831336,1.0152432535508242,0.013000351202015873,0.026566288652272608,-0.11718165302377276,-0.09682186225459868,3.3070642948150635,4
gpe,1000,483.7381855111202,1.0672339086551308,0.1017343548180296,0.014865048899980375,0.11542534179313725,-0.11810063830005099,-0.05584191578722857,2.7662065029144287,4
white_noise,1000,387.2318524056554,1.0313028138785743,0.15315860711028065,0.02153573027524504,0.03026486753592232,-0.11901053968484919,-0.10908687413341914,2.8687925338745117,4
multi_sine,1000,392.6026715411158,1.1148613760824653,0.13917599943190928,0.008798157338744936,0.017806762586441503,-0.1190970016569833,-0.1067233772946177,2.8069279193878174,4
piecewise_gaussian,1000,470.46718029759126,1.1255467371121286,0.14780431709106764,0.006037427040614243,0.079989114691638,-0.11515922389286995,-0.08197267785099595,2.914077043533325,4
sphere_random_walk,1000,419.7987569974778,1.382093713550159,0.14092697854471256,0.010184847885261203,0.07024967782437315,-0.09220080836895897,-0.09570488272181842,2.913616180419922,4
